Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 36, 1296, 38367414, 38178483, 37483871, 37494134, 38059994, 37433956, 38279247, 37819281, 37638281, 38057194, 37881185
A-Star    , 36, 1296, 952585, 926927, 939056, 942788, 928793, 923195, 942788, 930193, 929259, 939523, 935510
Dijkstra's, 37, 1369, 42787462, 42954934, 42871897, 43093949, 42462780, 43848273, 42446453, 42838776, 42734281, 43242295, 42928110
A-Star    , 37, 1369, 1000167, 1002033, 14292032, 1014162, 989904, 1009963, 999700, 995502, 1008097, 1004832, 2331639
Dijkstra's, 38, 1444, 49244230, 49230235, 48781467, 49021711, 50349359, 48738549, 49442024, 49038506, 49691600, 48836513, 49237419
A-Star    , 38, 1444, 1137317, 1127520, 1127520, 1138716, 1165773, 1125188, 1147113, 1129386, 1135917, 1137317, 1137176
Dijkstra's, 39, 1521, 55044639, 56275721, 56594805, 55286750, 56510369, 55056302, 55699132, 55243833, 55608166, 56725890, 55804560
A-Star    , 39, 1521, 1194229, 1203092, 1218953, 1194229, 1229216, 1214755, 1220353, 1211024, 1190030, 1227351, 1210323
Dijkstra's, 40, 1600, 62924220, 62948010, 63375788, 62708232, 62498309, 62513703, 62821124, 64114251, 62162898, 62534229, 62860076
A-Star    , 40, 1600, 1372897, 1360302, 1372897, 1352371, 1383160, 1354704, 1361701, 1377562, 1353304, 1366366, 1365526
Dijkstra's, 41, 1681, 71190525, 70719831, 70980602, 70436202, 70822460, 70221614, 71371526, 70862112, 70585946, 70792604, 70798342
A-Star    , 41, 1681, 1470395, 1451268, 1450336, 1452201, 1454534, 1459199, 1468529, 1452668, 1450336, 1457799, 1456726
Dijkstra's, 42, 1764, 80575488, 79618239, 79480155, 79778247, 79008995, 79106026, 79475024, 79558994, 79586051, 79695677, 79588289
A-Star    , 42, 1764, 1727901, 1623405, 1631802, 1632735, 1622939, 1648596, 1632269, 1638800, 1620607, 1636467, 1641552
Dijkstra's, 43, 1849, 90646199, 89013464, 89026526, 88478860, 89206593, 89913334, 88202228, 88696246, 89518679, 87893407, 89059553
A-Star    , 43, 1849, 1732566, 1739563, 1737230, 1721369, 1739096, 1743761, 1730233, 1733032, 1732566, 1725568, 1733498
Dijkstra's, 44, 1936, 100056820, 99623911, 99218526, 100115131, 99126626, 99858092, 99156016, 99369671, 100097871, 99077178, 99569984
A-Star    , 44, 1936, 1936424, 1927561, 1941089, 1943421, 1930827, 1926161, 1937357, 2004533, 1950886, 1993337, 1949159
Dijkstra's, 45, 2025, 112078416, 110797885, 111251785, 110729310, 111300301, 111299834, 111189275, 110494196, 111778459, 109463240, 111038270
A-Star    , 45, 2025, 2045118, 2056314, 2085703, 2048383, 2058179, 2053981, 2045584, 2046517, 2070308, 2039520, 2054960
Dijkstra's, 46, 2116, 125061928, 123035003, 122852137, 122822747, 122835810, 123519692, 122741111, 122635216, 122963162, 123343823, 123181062
A-Star    , 46, 2116, 2325482, 2271835, 2259706, 2262039, 2280232, 2297025, 2273235, 2284430, 2290028, 2273234, 2281724
Dijkstra's, 47, 2209, 138035642, 134958636, 136800828, 135454521, 136724323, 134921316, 135732086, 134814022, 135301510, 137187086, 135992997
A-Star    , 47, 2209, 2447237, 2396389, 2423912, 2406652, 2413649, 2396389, 2422512, 2399654, 2374464, 2422046, 2410290
Dijkstra's, 48, 2304, 151777209, 150731792, 150263897, 149512372, 149198420, 150766780, 150997228, 150739722, 149315977, 150329206, 150363260
A-Star    , 48, 2304, 2666023, 2668356, 2670688, 2644564, 2636635, 2671621, 2677220, 2671155, 2651562, 2663691, 2662151
Dijkstra's, 49, 2401, 164474292, 164478957, 163972343, 163169037, 164427642, 163709239, 163670519, 163182098, 162050380, 164705674, 163784018
A-Star    , 49, 2401, 2769120, 2782648, 2791044, 2769586, 2793377, 2801308, 2779848, 2784514, 2765853, 2792444, 2782974
Dijkstra's, 50, 2500, 180114963, 180288500, 178638504, 179743166, 178779852, 180293165, 179317255, 178539607, 180486294, 179682521, 179588382
A-Star    , 50, 2500, 3030356, 3058347, 3061612, 3066744, 3030357, 3051349, 3026159, 3009364, 3042953, 3047150, 3042439

Dijkster's vs A-Star Corner to Corner
