Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
A-Star    , 15, 225, 34988, 32188, 28457, 48982, 28923, 29856, 38720, 29389, 28923, 34521, 33494
Dijkstra's, 16, 256, 499622, 494957, 487959, 496356, 495422, 487959, 498222, 561199, 501954, 496823, 502047
A-Star    , 16, 256, 46184, 41052, 37787, 36854, 46650, 36853, 43384, 41985, 38720, 43385, 41285
Dijkstra's, 17, 289, 639571, 634906, 634440, 632108, 650768, 621378, 672226, 632108, 615313, 634906, 636772
A-Star    , 17, 289, 41519, 48516, 58779, 41985, 46650, 46183, 41518, 40585, 50849, 47117, 46370
Dijkstra's, 18, 324, 797715, 792583, 795383, 786519, 793983, 840633, 826171, 788851, 798182, 801447, 802146
A-Star    , 18, 324, 56446, 53648, 51315, 50849, 56447, 67643, 58313, 52714, 56913, 50382, 55467
Dijkstra's, 19, 361, 1074350, 976385, 987581, 989447, 982449, 991312, 1067819, 988047, 983849, 993645, 1003488
A-Star    , 19, 361, 72774, 56446, 71375, 72307, 67176, 57380, 70442, 69508, 64844, 67176, 66942
Dijkstra's, 20, 400, 1214300, 1213833, 1226895, 1216165, 1223162, 1288007, 1226895, 1235291, 1209634, 1212900, 1226708
A-Star    , 20, 400, 77439, 97965, 99365, 90034, 74173, 74640, 83970, 68576, 75573, 88635, 83037
Dijkstra's, 21, 441, 1814218, 1477406, 1476472, 1519857, 1554377, 1506795, 1464343, 1489067, 1543648, 1675668, 1552185
A-Star    , 21, 441, 88635, 88169, 71841, 73707, 75573, 73240, 77439, 86769, 75106, 80705, 79118
Dijkstra's, 22, 484, 1859002, 1924312, 1858069, 1864600, 1844541, 1847807, 1991022, 1834744, 1831946, 1864600, 1872064
A-Star    , 22, 484, 102630, 110561, 111027, 89101, 114293, 99364, 116625, 89568, 94699, 107761, 103562
Dijkstra's, 23, 529, 2961808, 2868974, 3262234, 2972071, 3312616, 3061173, 2875506, 3015455, 2892766, 3000994, 3022359
A-Star    , 23, 529, 149280, 146481, 160942, 130153, 174471, 181935, 158610, 148347, 139017, 156744, 154598
Dijkstra's, 24, 576, 4658469, 5155757, 5196809, 5145028, 5169752, 5164621, 4903847, 5242992, 5194010, 4873059, 5070434
A-Star    , 24, 576, 199195, 198262, 206659, 227186, 222987, 211324, 214590, 226719, 222520, 213657, 214309
Dijkstra's, 25, 625, 6527267, 6531932, 6504409, 6503009, 6426503, 6514671, 6537530, 6565520, 6475020, 6461957, 6504781
A-Star    , 25, 625, 257508, 241647, 259374, 286898, 235583, 243979, 257042, 262173, 259840, 303225, 260726
Dijkstra's, 26, 676, 8014003, 8020067, 8009337, 7998608, 8012137, 8031263, 8090508, 8003740, 7948693, 8054121, 8018247
A-Star    , 26, 676, 296227, 355006, 334947, 340078, 350808, 296694, 373200, 338679, 387195, 405388, 347822
Dijkstra's, 27, 729, 9775506, 9698534, 9691537, 9754047, 9800698, 9809095, 9813292, 9751714, 9652817, 9763844, 9751108
A-Star    , 27, 729, 334947, 360605, 370401, 478163, 391860, 404456, 384863, 387661, 375065, 399323, 388734
Dijkstra's, 28, 784, 11554271, 11655035, 11669496, 11659233, 11713814, 11715213, 11706816, 11559869, 11648036, 11590658, 11647244
A-Star    , 28, 784, 472097, 460435, 401656, 562599, 410987, 440376, 473031, 497756, 427781, 454838, 460155
Dijkstra's, 29, 841, 13870909, 13812130, 13810264, 13976338, 13904963, 13810731, 13685242, 13896100, 13796269, 13876507, 13843945
A-Star    , 29, 841, 503819, 553269, 458570, 538341, 486093, 528544, 672227, 466033, 480962, 438510, 512636
Dijkstra's, 30, 900, 16073256, 16188947, 16220203, 16416132, 16198278, 16097047, 16186148, 16104977, 16208540, 16111042, 16180457
A-Star    , 30, 900, 579859, 543939, 573794, 525279, 534609, 597119, 578926, 721209, 605050, 505220, 576500
Dijkstra's, 31, 961, 18441675, 18450539, 19088711, 18685655, 18432813, 18629209, 18641804, 18591422, 18734171, 18787352, 18648335
A-Star    , 31, 961, 568197, 580792, 563532, 548137, 576128, 646569, 660564, 710480, 605050, 635373, 609482
Dijkstra's, 32, 1024, 21894242, 21993606, 22274439, 22100901, 21861121, 21862053, 22076643, 21802808, 22023462, 21808406, 21969768
A-Star    , 32, 1024, 665229, 814508, 700216, 795382, 673159, 770191, 636773, 785586, 693685, 733804, 726853
Dijkstra's, 33, 1089, 24889638, 25014193, 25618777, 24677847, 24840656, 25179801, 24710501, 25627641, 24720765, 24783742, 25006356
A-Star    , 33, 1089, 726341, 684822, 885883, 725408, 727274, 821973, 828970, 731939, 735670, 789318, 765759
Dijkstra's, 34, 1156, 29066212, 28668754, 28829230, 28604844, 28472357, 28903403, 28602045, 29274271, 28344070, 29162311, 28792749
A-Star    , 34, 1156, 857427, 921804, 912940, 960523, 876553, 894747, 857894, 962389, 990846, 877487, 911261
Dijkstra's, 35, 1225, 32848127, 33211530, 32905506, 32595284, 32702579, 32856990, 32703979, 32788882, 32992275, 32869586, 32847473
A-Star    , 35, 1225, 922736, 1029566, 959124, 1020235, 1077614, 953059, 927402, 1032830, 946529, 852762, 972185
Dijkstra's, 36, 1296, 37402099, 37655409, 37361047, 37133862, 37407231, 37452015, 37265881, 37450148, 37093276, 37262149, 37348311
A-Star    , 36, 1296, 1165317, 1176513, 1053823, 1003908, 1034231, 1148989, 1103272, 1079947, 988514, 1052891, 1080740
Dijkstra's, 37, 1369, 43064475, 42826094, 42231307, 42371256, 42640893, 42252299, 42236438, 42401112, 42492547, 42499544, 42501596
A-Star    , 37, 1369, 1100473, 1191441, 1127531, 1283342, 1190041, 1056622, 1128463, 1229694, 1160652, 1090677, 1155893
Dijkstra's, 38, 1444, 48378843, 48104074, 48614892, 48485671, 48187578, 48433890, 48297205, 48686733, 48402168, 48475408, 48406646
A-Star    , 38, 1444, 1441018, 1449882, 1273545, 1263281, 1227361, 1136860, 1139193, 1289873, 1374775, 1429823, 1302561
Dijkstra's, 39, 1521, 55389871, 55078248, 55202337, 55004075, 55122099, 55138893, 54466201, 55198139, 55039062, 55151022, 55078994
A-Star    , 39, 1521, 1223630, 1389237, 1251620, 1243689, 1410229, 1522656, 1428889, 1469475, 1500731, 1482537, 1392269
Dijkstra's, 40, 1600, 62445682, 63059130, 61367134, 62488599, 61278033, 62458744, 62379439, 62561841, 61845296, 62193305, 62207720
A-Star    , 40, 1600, 1597296, 1684997, 1629484, 1846873, 1578169, 1645812, 1518458, 1486269, 1734447, 1485336, 1620714

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 10, 100, 0
A-Star    , 10, 100, 111960, 84436, 134352, 49916, 16794, 22392, 20526, 13528, 24258, 18193, 49635

Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 10, 100, 636770, 618576, 136217, 108694, 104495, 90967, 86303, 89567, 89567, 91900, 205305
A-Star    , 10, 100, 99364, 83504, 49449, 22392, 20060, 16794, 16328, 21459, 14928, 13995, 35827

Dijkster's vs A-Star Corner to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 10, 100, 608313, 608313
A-Star    , 10, 100, 172138, 172138

