Dijkster's vs A-Star Corner to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 36, 1296, 37721784, 37503930, 37236161, 37277213, 37807152, 37277679, 37608425, 37853336, 37323397, 37794090, 37540316
A-Star    , 36, 1296, 2194396, 1999401, 2193463, 2170605, 1868316, 2093633, 2027391, 2076840, 2018527, 2187399, 2082997
Dijkstra's, 37, 1369, 42964264, 42684833, 42468845, 42978258, 42392806, 43201243, 42378344, 42980591, 42404935, 43028173, 42748229
A-Star    , 37, 1369, 2615642, 2399188, 2423446, 2555930, 2397788, 2234049, 2426712, 2279765, 2280231, 2144481, 2375723
Dijkstra's, 38, 1444, 48587404, 49166325, 49322135, 48686301, 48880830, 48538888, 49308607, 48502035, 49291347, 48452587, 48873645
A-Star    , 38, 1444, 2478025, 2439306, 2533538, 2530740, 2780781, 2454701, 2725735, 2413650, 2509281, 2340876, 2520663
Dijkstra's, 39, 1521, 55769573, 56368554, 54953206, 55453289, 54948074, 55831617, 55054902, 56284118, 55507403, 55556384, 55572712
A-Star    , 39, 1521, 2592317, 2761655, 2692614, 2711740, 2782181, 2720137, 2919797, 3015895, 2796176, 2816702, 2780921
Dijkstra's, 40, 1600, 62608869, 63402377, 62944279, 63380452, 63128078, 62739487, 62710564, 63725193, 62376087, 63344532, 63035991
A-Star    , 40, 1600, 3307456, 2985574, 3236082, 3134852, 3059280, 3493587, 2935658, 3095666, 2937524, 2968779, 3115445
Dijkstra's, 41, 1681, 71374325, 71279159, 70701171, 70588746, 70787939, 71433569, 71369660, 70883571, 70595744, 70678313, 70969219
A-Star    , 41, 1681, 3478659, 3323783, 3290662, 3469329, 3271069, 3356904, 3414283, 3696979, 3334979, 3820134, 3445678
Dijkstra's, 42, 1764, 80351570, 79751190, 80597880, 79889739, 79664422, 79952249, 79162472, 80108992, 79213787, 96316922, 81500922
A-Star    , 42, 1764, 3691381, 3662458, 3775817, 3457667, 3590152, 3855588, 3820601, 3612077, 4195197, 4112161, 3777309
Dijkstra's, 43, 1849, 90328515, 90182036, 90228219, 89366135, 88916433, 89171139, 89813505, 90443274, 89333947, 89338145, 89712134
A-Star    , 43, 1849, 4093967, 3720770, 4177936, 4093500, 4057580, 4003934, 3961016, 4280099, 3696046, 4066911, 4015175
Dijkstra's, 44, 1936, 100320389, 100624544, 101203932, 101645237, 100864790, 101552405, 100808810, 100669795, 100936164, 100828403, 100945446
A-Star    , 44, 1936, 4330014, 3987606, 4666358, 4568860, 4573524, 4261906, 4297359, 4351940, 4361270, 4140150, 4353898
Dijkstra's, 45, 2025, 113354282, 112910178, 111282108, 112189442, 111833973, 113101442, 112408696, 112472605, 112403564, 112535582, 112449187
A-Star    , 45, 2025, 4708808, 4842227, 5083405, 4775518, 4433110, 5172039, 4502151, 4784381, 4849224, 4913133, 4806399
Dijkstra's, 46, 2116, 125309637, 125265786, 124839876, 124420962, 125583937, 125311503, 125672104, 123467911, 124345856, 125529823, 124974739
A-Star    , 46, 2116, 5081539, 5034889, 5449138, 5327849, 5259740, 5137051, 5348841, 5119325, 5400622, 4991505, 5215049
Dijkstra's, 47, 2209, 136786833, 135112113, 135141969, 136795696, 136147268, 137320037, 135930347, 135747014, 135434928, 136556384, 136097258
A-Star    , 47, 2209, 5668857, 5953420, 5258807, 6646632, 5180902, 5757958, 5537305, 5470130, 5715973, 5531240, 5672122
Dijkstra's, 48, 2304, 154185261, 151344768, 151374624, 153660919, 153215416, 152187259, 154164268, 151373224, 181852660, 151770212, 155512861
A-Star    , 48, 2304, 5819535, 5905837, 6502485, 6269704, 6180136, 6001468, 6780516, 5959017, 5873649, 6520212, 6181255
Dijkstra's, 49, 2401, 166790910, 165849988, 164028788, 167592817, 176206195, 172978977, 164866615, 173071343, 172023127, 168808038, 169221679
A-Star    , 49, 2401, 6541671, 6450704, 6173139, 6591586, 6336879, 6140485, 6569661, 7388827, 6319152, 6859821, 6537192
Dijkstra's, 50, 2500, 183620213, 189449078, 184280771, 183162580, 180681289, 220023679, 230680310, 187485597, 183210629, 179534176, 192212832
A-Star    , 50, 2500, 7060881, 6846293, 6815971, 6744130, 6841628, 9962018, 8186535, 7790947, 6484291, 7152780, 7388547

