Dijkster's vs A-Star Corner to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
A-Star    , 35, 1225, 953984, 901270, 866749, 931592, 940922, 891007, 918064, 1015562, 1017894, 903136, 934018
Dijkstra's, 36, 1296, 37912580, 38768134, 37731580, 38078186, 37872929, 38377210, 38575937, 37864065, 37613090, 37761436, 38055514
A-Star    , 36, 1296, 1205891, 1015095, 1093466, 1026757, 1175569, 1047283, 1079005, 1013695, 1165773, 975910, 1079844
Dijkstra's, 37, 1369, 44306838, 44859169, 42995518, 43494669, 43149462, 43015578, 43647680, 43341658, 43192380, 43387842, 43539079
A-Star    , 37, 1369, 1096732, 1197961, 1310853, 1122855, 1114458, 1317384, 1193296, 1052881, 1348640, 1416281, 1217134
Dijkstra's, 38, 1444, 49177988, 48944274, 49579640, 49116877, 50428197, 49051568, 49839012, 49041771, 49681337, 49220439, 49408110
A-Star    , 38, 1444, 1260005, 1390157, 1466197, 1453601, 1652328, 1313186, 1524042, 1567892, 1359368, 1243678, 1423045
Dijkstra's, 39, 1521, 55669743, 57530129, 55379583, 56093788, 55363722, 55599303, 55821821, 55749515, 55837216, 55373052, 55841787
A-Star    , 39, 1521, 1348173, 1554830, 1326247, 1604279, 1538503, 1420947, 1517044, 1589818, 1335577, 1443805, 1467922
Dijkstra's, 40, 1600, 63529731, 63348731, 62798732, 62703567, 63502674, 63452293, 62549157, 62722693, 63072565, 62547291, 63022743
A-Star    , 40, 1600, 1726968, 1584686, 1548766, 1511913, 1512846, 1613142, 1551565, 1602413, 1466663, 1476459, 1559542
Dijkstra's, 41, 1681, 71274494, 72213084, 70095659, 70838787, 71058507, 70260799, 71149940, 70933487, 70462792, 71391585, 70967913
A-Star    , 41, 1681, 1609877, 1668656, 1903769, 1648129, 1546900, 1655127, 1704109, 1556230, 1576289, 2104829, 1697391
Dijkstra's, 42, 1764, 80527905, 80484987, 80623537, 78989868, 79661156, 80718236, 78783678, 79692412, 80776081, 79045381, 79930324
A-Star    , 42, 1764, 1717171, 2020393, 1768952, 1719970, 1938757, 1925229, 1898171, 1779215, 1836594, 2051182, 1865563
Dijkstra's, 43, 1849, 89746329, 89181869, 89317620, 88539038, 88619275, 88683651, 89815837, 88711175, 89234583, 89051250, 89090062
A-Star    , 43, 1849, 2405252, 2200461, 1870182, 1900037, 2050249, 2049316, 2214923, 2046984, 1783880, 1842659, 2036394
Dijkstra's, 44, 1936, 101230523, 100230356, 99645370, 100535911, 100582560, 100093205, 99948125, 99923401, 99980781, 99673826, 100184405
A-Star    , 44, 1936, 2087102, 2012930, 2074507, 2279765, 2188798, 2129087, 2215855, 2130020, 2301690, 2168273, 2158802
Dijkstra's, 45, 2025, 113536215, 110920107, 111295170, 111364211, 111821843, 111745804, 111637578, 111331556, 111220531, 111602590, 111647560
A-Star    , 45, 2025, 2318484, 2290961, 2349740, 2565261, 2485023, 2589051, 2801307, 2313353, 2203259, 2406652, 2432309
Dijkstra's, 46, 2116, 125292376, 123941405, 122838142, 123942337, 123016810, 123373212, 123317233, 123767868, 123203874, 121943869, 123463712
A-Star    , 46, 2116, 2707075, 2525608, 2578788, 2664158, 3100331, 2561995, 2867083, 2635701, 2593716, 2540070, 2677452
Dijkstra's, 47, 2209, 137630258, 134649816, 135578609, 135598201, 135665843, 135540356, 135444725, 136141669, 135914952, 135694300, 135785872
A-Star    , 47, 2209, 2718737, 2896473, 2613776, 2873148, 2522343, 2756057, 2709874, 2702410, 2880145, 2494819, 2716778
Dijkstra's, 48, 2304, 150489215, 149192822, 150038112, 150236840, 149313179, 149412076, 148730059, 150080097, 148935317, 149585612, 149601332
A-Star    , 48, 2304, 3353172, 3076540, 2863351, 3174970, 2810637, 2913733, 3008431, 2817168, 2788245, 3294393, 3010064
Dijkstra's, 49, 2401, 166026324, 164577854, 163466195, 162845755, 163693845, 163546432, 163484854, 163468994, 163509578, 163329511, 163794934
A-Star    , 49, 2401, 3202960, 3081205, 3220220, 3532773, 3270602, 3310721, 3501051, 3030356, 3138583, 3201560, 3249003
Dijkstra's, 50, 2500, 180400459, 178896476, 178846561, 178245248, 178505553, 178709878, 178386596, 179137188, 178738801, 179048087, 178891484
A-Star    , 50, 2500, 3261273, 3406353, 3457667, 3326115, 3277133, 3415215, 3311187, 3341510, 3276200, 3750626, 3382327

Dijkster's vs A-Star Corner to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 10, 100, 622772, 607378, 113825, 106361, 118490, 102629, 90034, 89567, 90033, 90034, 203112
A-Star    , 10, 100, 115224, 83503, 43851, 22858, 23325, 20992, 15861, 15394, 14928, 14928, 37086
Dijkstra's, 11, 121, 123155, 115691, 112426, 112892, 114291, 113358, 110093, 107760, 422646, 109626, 144193
A-Star    , 11, 121, 25657, 17727, 15860, 24257, 14928, 18193, 19593, 15394, 79304, 13528, 24444
Dijkstra's, 12, 144, 157209, 149745, 153944, 151611, 148812, 152544, 150678, 149278, 153011, 149745, 151657
A-Star    , 12, 144, 21459, 22392, 17727, 20992, 16794, 22392, 19593, 17261, 17727, 16794, 19313
Dijkstra's, 13, 169, 215987, 208057, 210856, 212255, 208990, 208524, 203858, 206191, 207590, 208523, 209083
A-Star    , 13, 169, 25191, 19593, 23325, 20525, 23324, 20059, 23325, 20525, 21458, 20526, 21785
